Nhãn,Name,Numbers of Comment,Features,Rating,Numbers of Rating,Price,Loại card đồ họa,Loại CPU,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Chất liệu,Bảo mật,Màn hình cảm ứng,Chất liệu tấm nền,Kích thước màn hình,Độ phân giải màn hình,Công nghệ màn hình,Webcam,Khe đọc thẻ nhớ,Hệ điều hành,Wi-Fi,Bluetooth,Công nghệ âm thanh,Tính năng đặc biệt,Pin,Kích thước,Trọng lượng,Cổng giao tiếp,Tần số quét,Loại đèn bàn phím,Hãng sản xuất,Unnamed: 34,Unnamed: 5,Loại màn hình,Unnamed: 31,Socket,Độ phân giải
Van phong,Laptop MSI Modern 14 B11MOU-1065VN,21,"Laptop học tập - văn phòng cực mỏng nhẹ với trọng lượng chỉ 1.3 kg
CPU Intel Core i7-1195G7 cân mọi tác vụ văn phòng như: Word, Excel, PowerPoint,...
Card đồ họa Intel Iris Xe Graphics thoải mái chạy các ứng dụng văn phòng cơ bản hay các phần mềm thiết kế đơn giản
RAM 8 GB chuẩn DDR4 giúp thao tác đa nhiệm mượt mà hơn
Khởi động máy, ứng dụng nhanh chóng chỉ trong vài giây nhờ ổ cứng SSD 512 GB PCIe NVMe
Độ phủ màu 45% NTSC, 63% sRGB hỗ trợ thiết kế, làm việc với màu sắc chuẩn xác
",4.0/5,1.0,13.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop MSI Modern 15 B13M-297VN,1,"Sở hữu thiết kế tối giản với lớp vỏ màu đen tuyền
CPU Intel Core i7 1355U chạy mượt tất cả các tác vụ từ cơ bản đến chuyên sâu
Đồ họa Intel Iris Xe hiệu suất cao, cho phép chỉnh sửa hình ảnh cơ bản
RAM 16GB mượt mà, cân hàng chục tabs Chrome mà không giật, lag
Ổ cứng 512GB SSD hỗ trợ lưu trữ mọi dữ liệu mà không lo hết dung lượng
Màn hình 15.6 inch Full HD hiển thị sắc nét, trong trẻo, màu sắc chính xác
",,,19.790.000 đ,,"Intel Core i7-1355U (1.7 GHz - 5.0GHz, 12MB, 10 lõi / 12 luồng)",16GB,DDR4 3200MHz Onboard,,512GB SSD M.2 NVMe / 1 x M.2 NVMe,,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),,HD webcam,Có,Windows 11 Home,WiFi 802.11ax,Bluetooth 5.2,,"Ổ cứng SSD, Wi-Fi 6",3 cell 40 Wh,359 x 241 x 19.9 mm,1.7 kg,"1x HDMI
1x USB Type C / DisplayPort / Sạc
1x USB 3.2
2x USB 2.0
1x micro SD
Audio combo",,LED,,,,,Intel Iris Xe Graphics,,
Van phong,Laptop Asus Zenbook 14 Flip OLED UP3404VA-KN038W,3,"Màn hình 14 inch OLED tần số quét 90Hz mang lại khả năng hiển thị sắc nét
Bộ vi xử lý Intel Core i5 - 1340P mạnh mẽ cho hiệu năng cao cân mọi tác vụ văn phòng
RAM 16GB LDDR5 cho khả năng và tốc độ xử lý đa nhiệm nhanh, mượt mà
Ổ cứng SSD 512GB cho tốc độ truy xuất dữ liệu và thời gian khởi động máy nhanh chóng
Hỗ trợ bút cảm ứng cho trải nghiệm sáng tạo, ghi chú và chỉnh sửa không giới hạn
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop HP Probook 4540s,0,"Sở hữu thiết kế đậm chất văn phòng với màn hình 15.6 inch rộng rãi
CPU Intel Core i5-2450M giải quyết nhanh chóng mọi tác vụ văn phòng
RAM 4 GB DDR3 giúp duyệt web nhanh chóng
Ổ cứng 500 GB HDD hỗ trợ lưu trữ nhiêu file, tài liệu
Máy chỉ 2.47 kg dễ dàng mang theo làm việc, đi học
",,,Giá Liên Hệ,,"Intel Core i5-2400M (2.5 GHz, up to 3.1 GHz, 2 lõi / 4 luồng, 3 MB)",4GB,DDR3-SDRAM 1333 MHz,2 khe SO-DIMM,500 GB HDD,,,Không,,15.6 inches,1366 x 768 pixels,,Có,,Windows 7 Professional,Wifi 802.11b,Bluetooth 4.0,SRS PS,,"6-cells, 47 Wh (Li-Ion)",28 x 256 x 375 mm (H x D x W),2.47 kg,"2x USB 3.2 Gen 1 Type-A
1x Headphone
1x DC-in
2x USB 2.0
1x HDMI
1x Ethernet LAN (RJ-45)",,,,,,,Intel HD Graphics,,
Van phong,Laptop Lenovo ideapad 3 14ITL6 82H700VLVN,31,"Cấu hình của máy cho phép xử lý các tác vụ văn phòng hay chỉnh sửa ảnh nhẹ nhàng
8GB Ram onboard + 1 khe rời cho khả năng nâng cấp tối đa 16GB
512GB SSD cho phép máy khởi động nhanh hơn - Vỏ máy làm từ nhựa cao cấp, ít bám bụi, dấu vân tay
Trang bị đầy đủ cổng USB 2.0; cổng USB 3.2 Gen 1 Type-C, cổng USB 3.2 Gen 1 Type-A; cổng HDMI , đầu đọc thẻ SD; và jack tai nghe/mic
",,,14.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Intel NUC M15 BBC710BCUXBC1,3,"Thiết kế sang trọng - độ dày chỉ 15mm, nặng 1.65kg, sẵn sàng mang đi cà phê hay làm việc
Intel Core i7 thế hệ 11, tiến trình 10mm - Mượt mà mà vô cùng mát mẻ
16GB Ram onboard - Mở cùng lúc nhiều ứng dụng mà không lo giật lag
Tốc độ nhanh chóng - Trang bị 512GB SSD
",,,Giá Liên Hệ,,Intel Core i7 Tiger Lake - 1165G7,16GB,LPDDR4X 4266 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Vỏ kim loại,Mở khóa khuôn mặt,Có,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),"Phủ màu 100% sRGB
Tấm nền IPS",HD 720p,,Windows 11 Home SL,Wi-Fi 6 (802.11ax),v5.1,,"Ổ cứng SSD, Wi-Fi 6",73 Wh,Dài 355 mm - Rộng 230 mm - Dày 14.9 mm,1.65 kg,"2 x Thunderbolt 4 USB-C
2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm",,,,,,,,,
Sinh vien,Laptop Asus VivoBook 15X OLED S3504VA-L1226W,8,"Sở hữu màn hình 15.6 inch với lớp vỏ bạc thời thượng
CPU Intel Core i5 1340P hỗ trợ mình giải quyết nhanh gọn hàng loạt tác vụ văn phòng Word, Excel,...
Card Intel Iris Xe Graphics giúp giải quyết được khối lượng công việc nhiều hơn
RAM 16GB cùng ổ cứng 512 GB SSD ch không gian lưu trữ đủ lớn, lưu trữ tài liệu, hình ảnh,...
Đạt độ bền chuẩn quân đội MIL STD 810H gia tăng tuổi thọ và độ bền bỉ cho máy
",,,18.190.000 đ,Intel Iris Xe Graphics,"Intel Core i5-1340P (12MB Cache, 1.9 GHz up to 4.6 GHz, 12 lõi / 16 luồng)",16GB,DDR4,2 khe (8GB Onboard + 8GB SO-DIMM),512GB M.2 NVMe PCIe 4.0 SSD,Vỏ nhựa,"McAfee LiveSafe 30 ngày dùng thử miễn phí
Cảm biến vân tay tích hợp với Touchpad
McAfee LiveSafe
Khởi động BIOS bảo vệ mật khẩu người dùng
Mật khẩu người dùng thiết lập BIOS
Mô-đun nền tảng đáng tin cậy (Firmware TPM)",Không,Tấm nền OLED/AMOLED,15.6 inches,1920 x 1080 pixels (FullHD),"Thời gian phản hồi 0.2ms
Độ sáng tối đa 550nits HDR
Độ phủ màu 100% DCI-P3
HDR True Black 500
1.07 tỷ màu
TÜV Rheinland-certified",720p HD với màn trập camera,,Windows 11 Home,Wi-Fi 6E (802.11ax) (Dual band) 1*1,Bluetooth 5,"SonicMaster
Loa tích hợp
Micrô mảng tích hợp","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay","50WHrs, 3S1P, 3-cell Li-ion",35.97 x 23.25 x 1.79 ~ 1.79 cm (W x H x D),1.70 kg,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C (Hỗ trợ sạc)
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x Headphone/Headset
1x DC-in",60 Hz,,,,,Màn hình,,,
Van phong,Laptop ASUS ZenBook 14X UX5401ZAS-KN095W,8,"Thoả sức sáng tạo với màn hình cảm ứng, độ phân giải 2.8K
Siêu mỏng nhẹ chỉ 1.49kg - tiện lợi mang theo mọi nơi
Thiết kế chắc chắn - vỏ nhôm cao cấp
Hoạt động mượt mà - Ram 8GB, chip i5 thế hệ 11
Bền bỉ trước mọi điều kiện - Độ bền chuẩn quân đội US MIL-STD 810H
",,,29.490.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop HP Pavilion 15-EG2062TX 7C0W7PA,0,"Card GeForce MX550 2GB GDDR6 cho khả năng chiến các tựa game hạng nặng, chỉnh sửa hình ảnh trên PTS, Render 3D
Thiết kế tối giản với khung viền mỏng tinh tế cùng gam vàng thời thượng thu hút mọi ánh nhìn
Ổ cứng 512GB PCIe cho không gian lưu trữ rộng rãi, tải game hay lưu trữ dữ liệu học tập, làm việc thoải mái
Độ phân giải Full HD cho hình ảnh hiển thị rõ nét, màu sắc chân thực
Trang bị pin 3 Cell 41WHrs cho thời gian sử dụng ổn định
",,,Giá Liên Hệ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Asus VivoBook 14 X1404VA-NK124W,0,"Thiết kế vỏ nhựa với màu bạc sang trọng, trọng lượng chỉ 1.4 kg giúp bạn dễ mang theo bên mình
CPU Intel Core i3 1315U và card Intel UHD Graphics giúp lướt web, xem video, làm việc văn phòng, xử lý ảnh và chơi game nhẹ mượt mà
RAM 8 GB cho hiệu suất nhanh và hiệu quả cho công việc hàng ngày
Ổ cứng SSD 256GB cung cấp không gian đủ để lưu trữ tất cả các tập tin và tài liệu
Màn hình 14 inch Full HD cùng chống chói Anti Glare giúp giảm căng thẳng mắt hiệu quả
",,,11.590.000 đ,,"Intel Core i3-1315U (10MB Cache, 1.2 GHz up to 4.5 GHz, 6 lõi / 8 luồng)",8GB,DDR4 Onboard,,256GB M.2 NVMe PCIe 4.0 SSD,Vỏ nhựa,"McAfee LiveSafe 30 ngày dùng thử miễn phí
Cảm biến vân tay tích hợp với Touchpad
McAfee LiveSafe
Khởi động BIOS bảo vệ mật khẩu người dùng
Mật khẩu người dùng thiết lập BIOS
Mô-đun nền tảng đáng tin cậy (Firmware TPM)",Không,,14 inches,1920 x 1080 pixels (FullHD),"Độ sáng 250nits
Độ phủ màu 45% NTSC
Màn hình chống chói
TÜV Rheinland-certified",720p HD với màn trập camera,,Windows 11 Home,Wi-Fi 6E (802.11ax) (Dual band) 1*1,Bluetooth 5,"SonicMaster
Loa tích hợp
Micrô mảng tích hợp","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay","42WHrs, 3S1P, 3-cell Li-ion",32.49 x 21.39 x 1.79 ~ 1.79 cm (W x H x D),1.40 kg,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x DC-in",60 Hz,,,,,Màn hình,Intel UHD Graphics,,
Sinh vien,Laptop HP Pavilion X360 14-EK1048TU 80R26PA,0,"Sở hữu lớp vỏ kim loại màu vàng sang trọng cực kỳ thu hút ánh nhìn
Màn hình 14 inch Full HD giúp tái tạo hình ảnh với màu sắc tươi tắn và độ chi tiết cao
CPU Intel Core i5 1335U đáp ứng mượt mà các tác vụ như Word, Excel,...
Hỗ trợ gập mở 360 độ kết hợp màn hình cảm ứng đa điểm cho thao tác đa dạng và linh hoạt
Bảo mật vân tay giúp mở khóa chỉ bằng một chạm vô cùng tiện lợi
",,,20.590.000 đ,Intel Iris Xe Graphics,"Intel Core i5 Raptor Lake - 1335U (1.30 GHz, 10 lõi / 12 luồng, Turbo Boost 4.6 GHz, 12 MB)",8GB,DDR4 Onboard 3200 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,Vỏ kim loại,,Có,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói
Độ sáng 250 nits",Camera 5.0 MP cùng màn trập camera,Có,Windows 11 Home SL,Wi-Fi 6E (802.11ax),Bluetooth 5.2,"Audio by B&O
Realtek High Definition Audio","Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng, Bảo mật vân tay, Xoay gập 360 độ (2 in 1)","3-cell Li-ion, 43 Wh",322 x 210 x 19.9 mm (Dài x Rộng x Dày),1.53 kg,"1x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)
1x Jack tai nghe 3.5 mm
2x USB 3.2
1x HDMI
1x Micro SD",60 Hz,,,,,,,,
Van phong,Laptop Dell Latitude E7470,0,"Thiết kế thanh lịch với các góc bo nhẹ, mềm mại
Màn hình 14 inch cùng độ phân giải Full HD cho hình ảnh chân thực, sắc nét
CPU Intel Core i5-6300U cân mọi tác vụ văn phòng cho đến học tập
RAM 8GB đa nhiệm hỗ trợ mở nhiều tab duyệt web cùng lúc
Ổ cứng 256GB cho không gian lưu trữ đủ dùng khi sao lưu các file làm việc, dữ liệu học tập
Hỗ trợ đa dạng cổng kết nối: HDMI, USB 3.0, Mini DisplayPort,...
",,,Giá Liên Hệ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Acer Aspire 5 Vero AV15-51-58HB NX.AYCSV.002,1,"4GB onboard + 4GB trên khe cho khả năng nâng cấp tối đa 16GB
Chất lượng hiển thị rõ ràng, màn hình kích thước 15.6 inch tấm nền IPS
512GB SSD - Lưu trữ tốt thoải mái, khởi động máy nhanh hơn
Bảo mật vân tay cho phép mở máy chỉ với 1 chạm
",,,Giá Liên Hệ,,Intel Core i5-1155G7,8GB,DDR4,1 x 4GB Onboard DDR4 + 4GB trên khe ( có thể tháo ra nâng cấp tối đa 16GB),512GB SSD M.2 NVMe,Vỏ nhựa,Bảo mật vân tay,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),,720P,,Windows 11 Home SL,WiFi 802.11ax,v5.1,Loa stereo,"Ổ cứng SSD, Wi-Fi 6",3 cell 48 Wh,36.34 x 23.85 x 1.79 cm,1.8 kg,"1 x USB 3.2 Type C , 2 x USB 3.2 , 1 x USB 2.0 , LAN 1 Gb/s, 1 x HDMI",,LED đơn sắc,,,,,,,
Van phong,Laptop Asus VivoBook S 14 FLIP TP3402VA-LZ118W,2,"Kích thước nhỏ gọn 14 inch dễ dàng mang đi làm việc, cà phê
Chip Intel Core i9-13900H mạnh mẽ cân mọi tác vụ văn phòng
Ram 16GB vừa sử dụng Chrome, Word, Excel mà không lo bị giật, lag
SSD lên đến 512GB giúp việc khởi động, chạy các ứng dụng mượt mà
Bản lề gập 360 độ thoải mái sáng tạo ở mọi tư thế
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop MSI Modern 14 C13M-609VN,1,"Thiết kế nhỏ gọn với màn hình 14 inch cùng trọng lượng chỉ 1.4 kg
CPU Intel Core i5-1335U cho hiệu năng xử lý mọi công việc nhanh chóng
RAM 8GB đa nhiệm hỗ trợ mở nhiều tab trình duyệt cùng lúc
Không gian lưu trữ thoải mái với 512GB SSD
Trang bị đầy đủ cổng kết nối dễ dàng truyền tải dữ liệu chỉ trong vài giây
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Dell Inspiron 5310,1,"Mang thiết kế chắc chắn, nhưng trọng lượng chỉ 1.28kg cho bạn dễ dàng mang theo bên mình
Hiệu năng tốt đên từ con chip i3-1125G4 cho bạn xử lý ổn các tác vụ văn phòng
Màn hình 13.3 inch Full HD+ cho ra những thước phim, hình ảnh sắc nét
RAM 8GB cùng SSD 256 đủ dùng, lưu trữ tài liệu tốt
",,,Giá Liên Hệ,,"Intel Core i3 1125G4 2.00 GHz (up to 3.7 GHz, 4 nhân/ 8 luồng, 8 MB cache)",8GB,LPDDR4X 4267 MHz,1 Thanh RAM,256 GB SSD NVMe PCIe,Vỏ kim loại,Bảo mật vân tay,,,13.3 inches,1920 x 1200 pixels (FullHD+),"Chống chói Anti Glare
100% sRGB
Độ sáng 300 nits
WVA",HD,,Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,Wi-Fi 6 (802.11ax),Bluetooth 5.1,High Definition (HD) Audio,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",54 Wh 4 celll,15.9 x 296.78 x 210 mm,1.28 kg,1 x HDMI 1 x Jack tai nghe 3.5 mm 2 x Thunderbolt 4 USB-C 1 x USB 3.2 (Always on),60 Hz,Đèn đơn sắc,Dell,,,,Intel UHD Graphics,,
Gaming,Laptop Acer Gaming Aspire 7 A715-76-57CY NH.QGESV.004,8,"Màn hình 15.6 inch Full HD nhiều màu sắc cực kì sinh động
CPU Intel Core i5-12450H đủ mạnh để chạy rất nhiều loại phần mềm và ứng dụng từ làm việc văn phòng
8GB RAM tiêu chuẩn cho khả năng xử lý tác vụ nhanh gọn lẹ và chạy đa nhiệm một cách dễ dàng
512GB SSD cho không gian lưu trữ rộng rãi để bạn lưu trữ mọi ứng dụng, tài liệu trong chiếc laptop của mình
Bàn phím Full-size rộng rãi cho bạn thoải mái sử dụng, dễ dàng nhập liệu, soạn thảo văn bản
",,,14.490.000 đ,,"Intel Core i5 - 12450H (3.30 GHz - 4.40 GHz, 8 lõi / 12 luồng, 12 MB)",8GB,DDR4 3200 MHz,2 khe (Nâng cấp tối đa 32GB),512 GB SSD M.2 NVMe,Vỏ nhựa,,Không,Tấm nền IPS,15.6 inches,1920 x 1080 pixels (FullHD),Acer ComfyView LED-backlit,HD Webcam (720p Webcam),,Windows 11 Home Single Language,Wifi 6E,Bluetooth 5.1,,"Ổ cứng SSD, Wi-Fi 6",50 Wh,362.3 x 237.4 x 19.9 mm,2.1 kg,"1x DC-in jack
1x HDMI 2.0
1x Jack 3.5 mm
1x LAN
3x USB 3.2",60 Hz,LED,,,Intel UHD,,,,
Van phong,Laptop HP 15-DY2795WM 6M0Z7UA,26,"CPU Intel Core i5-1135G7 cân tốt mọi tác vụ hằng ngày như Word, Excel, Powerpoint
RAM 8GB cho phép mở cùng lúc nhiều tab trình duyệt hay nhiều ứng dụng cùng lúc
Ổ cứng 256 GB SSD giúp khởi động máy nhanh chóng, không gian lưu trữ đủ dùng
Màn hình viền mỏng 15.6 inch cho trải nghiệm xem phim, làm việc hấp dẫn
Trang bị đầy đủ cổng kết nối như: USB Type-A, HDMI, USB Type-C,... cho khả năng truy xuất, truyền tải dữ liệu nhanh hơn
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop LG GRAM 2023 16Z90RS-G.AH54A5,0,"Chip i5-1340P kết hợp cùng Intel Iris Xe Graphics đem lại nhiều tiện ích trong việc giải quyết công việc văn phòng cũng như chỉnh sửa nhẹ hình ảnh
Màn hình 16 inch kết hợp cùng độ phủ màu DCI-P3 100% và công nghệ chống chói giúp bạn trải nghiệm được hình ảnh sống động nhưng vẫn bảo vệ được đôi mắt
RAM 16GB cùng ổ cứng SSD 512GB giúp bạn tự tin lưu trữ dữ liệu mà không sợ hết
Thiết kế laptop mỏng nhẹ, trọng lượng chỉ 1.25kg , rất dễ dàng để bạn mang theo bên người mà không lo nặng vai
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaming,Laptop ASUS TUF Gaming F15 FX507ZC-HN124W,83,"""Chip I7-12700H tinh vi cùng card đồ họa GeForce RTX 3050 cho khả năng chiến mọi thể loại game hạng nặng, không giật lag, chỉnh sửa hình ảnh, video Pro trên các nền tảng
Ram 8GB với 2 khe cắm, nâng cấp tối đa đến 32GB cùng ổ cứng SSD có không gian lưu trữ lên tới 512GB cho tốc độ xử lý mượt mà, nhanh chóng, đa nhiệm
Trang bị màn hình chống lóa giúp lọc ánh sáng xanh có hại cùng màn hình 15.6 inches 144Hz - mang đến trải nghiệm thoải mái, tuyệt vời nhất cho các game thủ
Tích hợp Webcam HD 720p cho phép đàm thoại thông qua video thoải mái
Năng lượng bất tận để chiến đấu cùng các con game chỉ với 4-cell, 56WHrs
Trọng lượng máy 2.20 Kg cho cảm giác cầm chắc tay
Máy đi kèm Windows 11 Home SL bản quyền""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinh vien,Laptop Asus ZenBook 14 OLED UX3402VA-KM203W,3,"Sở hữu thiết kế thời thượng cực mỏng nhẹ
Bộ vi xử lý Intel Core i5 1340P cân mọi tác vụ văn phòng
Card tích hợp Intel Iris Xe Graphics hỗ trợ chỉnh sửa hình ảnh cơ bản
RAM 16 GB giúp tăng hiệu suất công việc cũng như giải trí mượt mà không bị giật hoặc treo máy
Ổ cứng SSD 512 GB cho tốc độ truy xuất nhanh, lưu trữ thoải mái
Bảo mật vân tay tích giúp bảo vệ dữ liệu cá nhân
",,,24.490.000 đ,,"Intel Core i5-1340P (1.9 GHz, 12MB Cache, up to 4.6 GHz, 12 lõi / 16 luồng)",16GB,LPDDR5 Onboard,,512GB M.2 NVMe PCIe 4.0 SSD,Vỏ kim loại,"McAfee LiveSafe 30 ngày dùng thử miễn phí
Cảm biến vân tay tích hợp phím nguồn
McAfee LiveSafe
Mô-đun nền tảng đáng tin cậy (TPM)",Không,Tấm nền OLED/AMOLED,14 inches,2880 x 1800 pixels,"Thời gian phản hồi 0.2ms
Tần số quét 90Hz
Độ sáng tối đa 600nits HDR
Độ phủ màu 100% DCI-P3
HDR True Black 600
1.07 tỷ màu
SGS Eye Care Display",1080p FHD camera,Có,Windows 11 Home,Wi-Fi 6E (802.11ax) (Dual band) 2*2,Bluetooth 5,"Công nghệ khuếch đại thông minh
Loa tích hợp
Micro tích hợp sẵn
harman/kardon (Premium)","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay","75WHrs, 2S2P, 4-cell Li-ion",31.36 x 22.06 x 1.69 ~ 1.69 cm (W x H x D),1.39 kg,"1x USB 3.2 Gen 2 Type-A
2x Thunderbolt 4 (Display / Sạc)
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
Đầu đọc thẻ Micro SD",,,,,,,,,
Van phong,Laptop Dell Inspiron 15 3505 Y1N1T3,15,"AMD Ryzen 3-3250U - Phù hợp với học sinh, người dùng văn phòng cơ bản
Ổ cứng SSD 256GB - mang đến khả năng đa nhiệm nhiều tác vụ cùng lúc, tiết kiệm tối đa thời gian mở máy.
Màn hình Full HD kích thước chuẩn 15.6 inch, mang lại chất lượng hiển thị sắc nét.
Tích hợp webcam 720p HD cho phép đàm thoại thông qua video thoải mái.Năng lượng bất tận cả ngày với viên pin 3 Cell 42WHr.
Thiết kế mỏng nhẹ, sang trọng thuận tiện di chuyển, mang theo - Nặng 1.83 kg
Máy đi kèm Windows 10 bản quyền.
",,,12.990.000 đ,,AMD Ryzen 3-3250U 2.6GHz up to 3.5GHz 4MB,8GB,"DDR4 2400MHz, 2 khe cắm tối đa 16GB",,256GB SSD M.2 PCIE,,,Không,,15.6 inches,1920 x 1080 pixels (FullHD),Màn hình chống loá,HD 720p,Có,Windows 10 Home SL,802.11 AC,v4.2,Realtek ALC3204,Ổ cứng SSD,3 Cell 42WHr,363.96 x 249 x 19.89 mm,1.83 kg,"1x USB 2.0
2x USB 3.2 Gen 1
1x HDMI 1.4
1xRJ-45",,,,AMD Radeon Graphics,,,,,
Sinh vien,Laptop Lenovo Ideapad Slim 5 Light 14ABR8 82XS0007VN,0,"Trang bị chip R7-7730U mạnh mẽ giúp hoàn thành tốt các tác vụ văn phòng cùng chỉnh sửa ảnh
Thiết kế màu xám sang trọng cùng trọng lượng chỉ 1.17 kg cho phép bạn dễ dàng màn theo bên mình
Màn hình 14 inch full HD cho bạn trải nghiệm hình ảnh chân thật, sống động
RAM 8GB cùng ổ cứng SSD 512GB giúp bạn mở các tác vụ nhanh chóng cùng lưu trữ dữ liệu tốt
",,,Giá Liên Hệ,,"AMD Ryzen 7 7730U (8 lõi / 16 luồng, up to 4.5GHz, 3MB L2 / 16MB L3)",8GB,DDR4-3200 Onboard,,SSD 512GB M.2 2242 PCIe 4.0x4 NVMe,Vỏ kim loại,,Không,Tấm nền IPS,14 inches,1920 x 1080 pixels (FullHD),"Độ phủ màu 100% sRGB
Chống chói
Độ sáng tối đa 300nits",FHD 1080p với màn trập riêng tư,Không,Windows 11 Home,Wi-Fi 6,Bluetooth 5.1,"Loa âm thanh nổi
Dolby Audio","Ổ cứng SSD, Wi-Fi 6",47Wh,324.1 x 215.7 x 17.1 mm,1.17 kg,"2 x USB 3.2 Thế hệ 1
1 x USB-C 3.2 Gen 1
1 x HDMI 1.4b
1 x Đầu đọc thẻ 1x
1 x Giắc cắm kết hợp tai nghe",,,Lenovo,,,,AMD Radeon Graphics,,
Van phong,Lenovo ideapad 3 15ITL 82H801QUS,8,"Chip Intel Core i5-1135G7 cùng card Intel Iris Xe Graphics chạy mượt mà các tác vụ văn phòng, game nhẹ hay chỉnh sửa ảnh cơ bản trên PTS.
Dung lượng lớn với Ram 12GB, ổ cứng SSD 256GB mang đến tốc độ xử lý nhanh cùng đa nhiệm mượt mà.
Màn hình chống lóa, Full HD, kích thước chuẩn 15.6 inch, bảo vệ mắt, mang lại chất lượng hiển thị sắc nét.
Tích hợp webcam 720p cho phép đàm thoại thông qua video thoải mái.
Năng lượng bất tận cả ngày với viên pin 45Wh.
2 Loa, 1.5W x2, công nghệ Dolby Audio - mang lại trải nghiệm giải trí chân thật.
Thiết kế vỏ nhựa cứng cáp, nặng 1.65 kg thuận tiện di chuyển, mang theo.
Máy đi kèm Windows 11 bản quyền.
",5.0/5,1.0,12.990.000₫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van phong,Laptop Asus Expertbook B5302CEA-L50916W,8,"8GB Ram onboard + 1 khe trống cho phép nâng cấp, thoải mái sử dụng
Xem phim hay chỉnh sửa ảnh trên máy với màn hình độg phủ màu 100%sRGB
Chạy mượt các ứng dụng văn phòng - Core I5-1135G7
Thiết kế sang trọng, nặng chỉ 1kg tiện lợi mang theo
",,,15.490.000₫,,"Intel Core™ i5-1135G7 2.4 GHz (8M Cache, up to 4.2 GHz, 4 cores)",8GB,8G DDR4 on board,Trống 1 x DDR4 SO-DIMM,"512GB M.2 NVMe™ PCIe® 3.0 SSD
Trống 1 khe M.2 2280 PCIe 3.0x4",Vỏ kim loại,"BIOS Booting User Password Protection
HDD User Password Protection and Security
Trusted Platform Module (TPM) 2.0
Cảm biến vân tay trên nút nguồn
Kensington Security Slot™",,Tấm nền IPS,13.3 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói
Độ phủ màu sRGB: 100%
Tấm nền Led tỷ lệ màn hình 16:9
Độ sáng 470nits, Wide view",720p HD camera với màn trập camera,,Windows 11 Home,Wi-Fi 6 (802.11ax) (Dual band) 2*2,Bluetooth 5.0,"Smart Amp Technology
Loa tích hợp
Micrô mảng tích hợp","Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay","66WHrs, 4S1P, 4-cell Li-ion",30.90 x 21.06 x 1.69 ~ 1.69 cm (W x H x D),1.00 kg (bao gồm pin),"1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4 hỗ trợ display / sạc
1x HDMI 2.0b
1x Micro HDMI (RJ45 lan)
1x 3.5mm Combo Audio Jack",,Bàn phím Chiclet có đèn nền,,Intel Iris Xe Graphics,,,,,
